"id","店舗名","店舗名（英語）","住所","住所（英語）","検索条件エリア","カテゴリ（まとめ）","SSID種類","lat","lng"
"226","キミノーカ","Gelato Shop Kiminoka","海草郡紀美野町三尾川785-3","785-3 Miogawa, Kiminocho, Kaiso-gun","和歌山市エリア","グルメ","L","34.139198","135.373062"
"227","釜滝薬師金剛寺","Kamataki Yakushi Kongoji temple","海草郡紀美野町釜滝120","120 Kamataki, Kiminocho, Kaiso-gun","和歌山市エリア","観光スポット,その他","L","34.166451","135.348511"
"228","安養寺","Anyo-ji Temple","海南市名高420","420 Nataka, Kainan-shi","和歌山市エリア","観光スポット,その他","N","34.150791","135.214386"
"229","海月旅館","Kaigetsu Ryokan ","海南市船尾378","378 Funo, Kainan-shi","和歌山市エリア","宿泊","L","34.15852","135.196228"
"230","コ－ヒ－館　熊野路","Coffee House Kumanoji","紀の川市貴志川町神戸177-3","177-3 Kodo, Kishigawacho, Kinokawa-shi","和歌山市エリア","グルメ","N","34.218372","135.316391"
"231","大池荘","Oikeso Inn","紀の川市貴志川町長山1287-1","1287-1 Nagayama, Kishigawacho, Kinokawa-shi","和歌山市エリア","宿泊","N","34.209251","135.292709"
"232","アミューズフレンチレストラン","Amuse French Restaurant ","岩出市中黒432‐7","432-7 Nakakuro, Iwade-shi","和歌山市エリア","グルメ","L","34.271229","135.286606"
"233","ファーマーズマーケット　めっけもん広場","Farmer's market Mekkemon-hiroba","紀の川市豊田56-3","56-3 Toyoda, Kinokawa-shi","和歌山市エリア","グルメ,ショッピング","N","34.281612","135.353256"
"234","粉河寺","Kokawadera Temple","紀の川市粉河2787","2787 Kokawa, Kinokawa-shi","和歌山市エリア","観光スポット,その他","N","34.276337","135.406616"
"235","焼肉の牛太本陣岩出店","Yakiniku restaurant　Gyuta Honjin Iwade","岩出市西国分725-1","725-1 Nishikokubu, Iwade-shi","和歌山市エリア","グルメ","N","34.262955","135.334824"
"236","タウンコーヒー","Town Coffee","岩出市荊本235","235 Ibaramoto, Iwade-shi","和歌山市エリア","ショッピング","N","34.263084","135.307602"
"237","粉河産土神社","Kokawaubusuna Jinja Shrine ","紀の川市粉河2788","2788 Kokawa, Kinokawa-shi","和歌山市エリア","観光スポット,その他","N","34.276337","135.406616"
"238","稲穂会病院","Inahokai Hospital","紀の川市粉河756‐3","756-3 Kokawa, Kinokawa-shi","和歌山市エリア","その他","N","34.267307","135.405624"
"239","鶏心（チキンハ－ト）ていは","Restaurant Chiken Heart Teiha","岩出市西野25-3","25-3 Nishino, Iwade-shi","和歌山市エリア","グルメ","N","34.258865","135.306915"
"240","観音寺","Kannonji temple","紀の川市別所58","58 Bessho, Kinokawa-shi","和歌山市エリア","観光スポット,その他","N","34.27002","135.390564"
"241","紀北印刷","Kihoku Printing","紀の川市西大井133-6","133-6 Nishioi, Kinokawa-shi","和歌山市エリア","その他","N","34.267521","135.361816"
"242","Ｔ－ＮＡＲＵＳＥ（ケーキパーラーナルセ）","T-NARUSE Cake Parlor","岩出市清水363","363 Shimizu, Iwade-shi","和歌山市エリア","グルメ,ショッピング","L","34.254509","135.316833"
"243","裁ち寄り処","Hashimoto city regional industry promotion center Tachiyori-dokoro","橋本市高野口町名倉288番地地場産業振興ｾﾝﾀｰ","Jiba Sangyo Shinko Center, 288 Nagura, Koyaguchicho, Hashimoto-shi","高野山エリア","ショッピング,その他","L","34.304718","135.554977"
"244","はしもと広域観光案内所","Tourist information center of Hashimoto","橋本市古佐田1-5-9橋本市観光協会","Hashimoto City Tourist Association, 1-5-9 Kosada, Hashimoto-shi","高野山エリア","公共交通,観光スポット,その他","L","34.317413","135.614075"
"245","みそや呉服店　店舗","Misoya draper's head office","橋本市賢堂1114-1","1114-1 Kashikodo, Hashimoto-shi","高野山エリア","ショッピング","L","34.311321","135.61293"
"246","みそや呉服店　本店","Misoya draper's flagship store","橋本市橋本1-2-14","1-2-14 Hashimoto, Hashimoto-shi","高野山エリア","ショッピング","L","34.315651","135.611923"
"247","ｂｅａｒｅ　ｂｙ　ＭｉＳＯＹＡ","Kimono Shop Beare by Misoya","橋本市橋本1-2-14","1-2-14 Hashimoto, Hashimoto-shi","高野山エリア","ショッピング","L","34.315651","135.611923"
"248","かつらぎ温泉　八風の湯","Katsuragi onsen Happuno-yu","伊都郡かつらぎ町佐野702","702 Saya, Katsuragicho, Ito-gun","高野山エリア","宿泊,グルメ,その他","L","34.293186","135.48436"
"249","天の里","Mountain Villa Amanosato","伊都郡かつらぎ町天野1620","1620 Amano, Katsuragicho, Ido-gun","高野山エリア","宿泊,グルメ","N","34.29631","135.50351"
"250","宝善院","Hozenin temple (shukubo)","伊都郡高野町高野山568","568 Koyasan, Koyacho, Ido-gun","高野山エリア","宿泊,グルメ","L","34.215015","135.587585"
"251","西南院","Sainanin temple (shukubo)","伊都郡高野町高野山249","249 Koyasan, Koyacho, Ido-gun","高野山エリア","宿泊,グルメ","L","34.206329","135.574341"
"252","おみやげ・お茶処　西利","Nishiri restaurant and store","伊都郡高野町高野山784","784 Koyasan, Koyacho, Ito-gun","高野山エリア","グルメ,ショッピング","N","34.21299","135.58522"
"253","天然温泉　ゆの里","Yunosato natural Onsen","橋本市神野々898","898 Konono, Hashimoto-shi","高野山エリア","グルメ,その他","N","34.306259","135.578506"
"254","金剛三昧院","Kongo Zanmaiin temple(shukubo)","伊都郡高野町高野山425","425 Koyasan, Koyacho, Ido-gun","高野山エリア","宿泊,グルメ","N","34.209164","135.586823"
"255","コスメはうす　ぶどう園","Cosme House Budouen Cosmetics","伊都郡かつらぎ町中飯降1661","1661 Nakaiburi, Katsuragicho, Ito-gun","高野山エリア","ショッピング,その他","N","34.30349","135.536377"
"256","河内屋石油","Kawachiya Sekiyu Gas station","伊都郡高野町高野山388","388 Koyasan, Koya-cho, Ito-gun","高野山エリア","その他","N","34.21299","135.58522"
"257","そば処　幸村庵","Soba Restaurant Yukimuraan","伊都郡九度山町九度山1404","1404 Kudoyama, Kudoyamacho, Ido-gun","高野山エリア","グルメ","N","34.290726","135.559509"
"258","柿の葉すし九和楽","Kakinohasushi Kuwakura Restaurant","伊都郡九度山町九度山1353","1353 Kudoyama, Kudoyamacho, Ito-gun","高野山エリア","グルメ,ショッピング","N","34.290051","135.561111"
"259","プティ・アシェット","Petit Assiette Confectionery Store","橋本市隅田町垂井511-4","511-4 Tarui, Sudacho, Hashimoto-shi","高野山エリア","グルメ,ショッピング","N","34.335316","135.646881"
"260","松本商店","Matsumoto Shoten Store","伊都郡九度山町九度山1569","1569 Kudoyama, Kudoyamacho, Ido-gun","高野山エリア","ショッピング","N","34.295807","135.564651"
"261","日本エコショップ　Fox橋本店","Nihon Eco Shop store Fox, Hashimoto ","橋本市隅田町芋生7-5","7-5 Imo, Sumidacho, Hashimoto-shi","高野山エリア","ショッピング","N","34.326275","135.649643"
"262","旅館　高野館","Japanese Style Inn Ryokan Koyakan","伊都郡高野町高野山445","445 Koyasan, Koyacho, Ido-gun","高野山エリア","宿泊","L","34.209164","135.586823"
"263","丹生管省符神社","Niukanshobu-jinja shrine","伊都郡九度山町慈尊院835","835 Jisonin, Kudoyamacho, Ito-gun","高野山エリア","観光スポット,その他","N","34.29425","135.549591"
"264","丹生都比売神社","Nyutsuhime-Jinja Shrine ","伊都郡かつらぎ町上天野230","230 Kamiamano, Katsuragicho, Ito-gun","高野山エリア","観光スポット,その他","N","34.26009","135.51918"
"265","やっちょん広場","Yacchon Hiroba Farmer's Market","橋本市岸上522-1","522-1 Kishigami, Hashimoto-shi","高野山エリア","グルメ,ショッピング","N","34.311207","135.587631"
"266","真田いこい茶屋","Tea House Sanada Ikoi Chaya","伊都郡九度山町九度山1722-1","1722-1 Kudoyama, Kudoyamacho, Ito-gun","高野山エリア","グルメ","N","34.287937","135.562866"
"267","宝城院","Hojoin temple (shukubo)","伊都郡高野町高野山156","156 Koyasan, Koyacho, Ito-gun","高野山エリア","宿泊,グルメ","N","34.220783","135.576935"
"268","遍照尊院","Temple Lodging Henjoson-in","伊都郡高野町高野山303","303 Koyasan, Koyacho, Ito-gun","高野山エリア","宿泊,グルメ","N","34.206329","135.574341"
"269","総持院","Sojiin temple (shukubo)","伊都郡高野町高野山143","143 Koyasan, Koyacho, Ito-gun","高野山エリア","宿泊,グルメ","N","34.220783","135.576935"
"270","パン工房　Ａｒｃｔｉｃ","Bakery Pan Kobo Arctic","橋本市東家6-1-3","6-1-3 Toge, Hashimoto-shi","高野山エリア","グルメ,ショッピング","L","34.313797","135.605438"
"271","小堀南岳堂","Kobori Nangakudo Book Store","伊都郡高野町高野山781","781 Koyasan, Koyacho, Ito-gun","高野山エリア","ショッピング","L","34.21299","135.58522"
"272","岩橋化粧品店","Iwahashi Cosmetic Store","橋本市東家4-6-11","4-6-11 Toge, Hashimoto-shi","高野山エリア","ショッピング","N","34.316189","135.609467"
"273","報恩院","Houonin temple (shukubo)","伊都郡高野町高野山283","283 Koyasan,Koyacho, Ito-gun","高野山エリア","宿泊,グルメ","N","34.206329","135.574341"
"274","道の駅「柿の郷くどやま」","Roadside Station Kakinosato Kudoyama","伊都郡九度山町入郷5番5","5-5 Nyugo, Kudoyamacho, Ito-gun","高野山エリア","グルメ,ショッピング,観光スポット,その他","L","34.291832","135.552368"
"275","御菓子司さゞ波横休憩所","Rest Area next to Sazanami Confectionery Store","伊都郡高野町大字高野山797","797 Koyasan, Koyacho, Ito-gun","高野山エリア","ショッピング,その他","N","34.206329","135.574341"
"276","かつらぎ西パーキングエリア","Antenna Shop on the Down Line at Katsuragi Nishi Parking Area","伊都郡かつらぎ町笠田東1270-22","1270-22 Kasedahigashi, Katsuragicho, Ito-gun","高野山エリア","グルメ,ショッピング,観光スポット,その他","L","34.288429","135.479355"
"277","ＴＥＲＡＫＯ－ＹＡ","Tourist Information Center TERAKO-YA","伊都郡高野町高野山445","445 Koyasan, Koyacho, Ito-gun","高野山エリア","その他","L","34.209164","135.586823"
"278","ウエストコースト","Restaurant West Coast","伊都郡かつらぎ町大字笠田東108-1","108-1 Kasedahigashi, Katsuragicho, Ito-gun","高野山エリア","グルメ","L","34.289715","135.481293"
"279","わらべ","Warabe, seafood restaurant","和歌山県橋本市小原田74-9ﾊｲﾂ小原田1階","Heights Oharata Bldg. 1F, 74-9 Oharata, Hashimoto-shi","高野山エリア","グルメ","L","34.328766","135.607162"
"280","子安地蔵寺","Koyasujizo-ji Temple","橋本市菖蒲谷94","94 Syobutani, Hashimoto-shi","高野山エリア","観光スポット,その他","N","34.337437","135.58313"
"281","真明寺","Shinmyo-ji Temple","伊都郡かつらぎ町佐野318","318 Saya, Katsuragicho, Ito-gun","高野山エリア","観光スポット,その他","L","34.292419","135.482452"
"282","増福院","Temple Lodging Zofuku-in","伊都郡高野町高野山346","346 Koyasan, Koyacho, Ito-gun","高野山エリア","宿泊,グルメ","L","34.215015","135.587585"
"283","西禅院","Temple Lodging Saizen-in","伊都郡高野町高野山154","154 Koyasan, Koyacho, Ito-gun","高野山エリア","宿泊,グルメ","L","34.220783","135.576935"
"284","カメイプラザ","Kamei Plaza Gift Shop","橋本市市脇4丁目1-20","4-1-20 Ichiwaki, Hashimoto-shi","高野山エリア","ショッピング","L","34.31348","135.601273"
"285","亀井商店卸配送センター","Kamei Shoten Wholesale Delivery Center","橋本市市脇4丁目1-4","4-1-4 Ichiwaki, Hashimoto-shi","高野山エリア","ショッピング,その他","L","34.31348","135.601273"
"286","コスメティックかめい","Cosmetic shop Kamei","橋本市橋本2丁目2-14","2-2-14 Hashimoto, Hashimoto-shi","高野山エリア","ショッピング","N","34.316174","135.613541"
"287","木間暮","Kimagure Cafe and Restaurant","橋本市西畑489-1","489-1 Nishibata, Hashimoto-shi","高野山エリア","グルメ","N","34.296989","135.602951"
"288","南海りんかんバス　高野山営業所","Nankai Rinkan Bus, Koyasan Business Office","伊都郡高野町高野山国有林第8林班105-1","105-1 8th Group of National Forest, Koyasan, Koyacho, Ito-gun","高野山エリア","公共交通","N","34.215015","135.587585"
"289","大円院","Daien-in Temple","伊都郡高野町高野山594","594 Koyasan, Koyacho, Ito-gun","高野山エリア","宿泊,グルメ","N","34.219963","135.598831"
"290","二軒目飯店","Chinese Restaurant Nikenme Hanten","伊都郡かつらぎ町佐野890","890 Saya, Katsuragicho, Ito-gun","高野山エリア","グルメ","N","34.291065","135.487228"
"291","初櫻酒造","Hatsuzakura Shuzo Sake Factory","和歌山県伊都郡かつらぎ町中飯降85","85 Nakaiburi, Katsuragicho, Ito-gun","高野山エリア","ショッピング,その他","N","34.303585","135.532822"
"292","大明王院","Daimyoo-in Temple","伊都郡高野町大字高野山482","482 Koyasan, Koyacho, Ito-gun","高野山エリア","宿泊,グルメ","N","34.201385","135.600281"
"293","一喜食堂","Ikki Dining","有田郡湯浅町吉川64-3","64-3 Yoshikawa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","グルメ","L","34.047024","135.187103"
"294","すはらシーサイドハウス","Suhara Seaside House Boat Rental","有田郡湯浅町栖原966-1","966-1 Suhara, Yuasacho, Arida-gun","有田・湯浅・日高エリア","観光スポット,その他","L","34.041801","135.164658"
"295","貴望","Kibo Guest House","有田郡湯浅町大字田57-9","57-9 Yuasacho, Arida-gun","有田・湯浅・日高エリア","宿泊","N","34.054569","135.148376"
"296","紀州路ありだ","Kishuji Arida General Store","有田郡有田川町熊井674-3","674-3 Kumai, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N","34.042278","135.195724"
"297","焼肉　森谷","Yakiniku Restaurant Moritani","有田郡有田川町庄322-1","322-1 Sho, Aridagawacho, Aridaga-gun","有田・湯浅・日高エリア","グルメ","L","34.065495","135.234589"
"298","あさぎり","Lodging and Experience Facility Asagiri","有田郡有田川町大字清水1225-1","1225-1 Shimizu, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","宿泊,グルメ,その他","N","34.085457","135.430542"
"299","麺処むらなか","Mendokoro Muranaka noodle restaurant","有田郡広川町大字唐尾213‐5","213-5 Ooazakaro, Hirogawacho, Arida-gun","有田・湯浅・日高エリア","グルメ","N","34.00354","135.145996"
"300","角長","Kadocho soy sauce shop","有田郡湯浅町湯浅7","7 Yuasa, Yuasacho, Aida-gun","有田・湯浅・日高エリア","ショッピング,観光スポット,その他","N","34.037365","135.174088"
"301","カフェアンドレストバグダッド","Cafe and Rest Bagdad","有田郡有田川町大字修理川417","417 Surigawa, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","グルメ","N","34.032833","135.287109"
"302","北町茶屋いっぷく","Kitamachichaya Ippuku restaurant","有田郡湯浅町湯浅23","23 Yuasacho, Arida-gun","有田・湯浅・日高エリア","グルメ","L","34.035324","135.176682"
"303","国民宿舎　くろ潮","Kuroshio Hotel","有田市宮崎町1562-2","1562-2 Miyazakicho, Arida-shi","有田・湯浅・日高エリア","宿泊","L","34.077488","135.103058"
"304","レスト喫茶　ドンキー","Coffee Restaurant Donkey","有田郡湯浅町湯浅1045-1","1045-1 Yuasa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","グルメ","L","34.033665","135.180099"
"305","マルキ食堂","Maruki Shokudo restaurant","有田市箕島897-1","897-1 Minoshima, Arida-shi","有田・湯浅・日高エリア","グルメ","L","34.086044","135.124298"
"306","喜多亭","Kitatei, French restaurant","有田市初島町里1933-8","1933-8 Sato, Hatsushimacho, Arida-shi","有田・湯浅・日高エリア","グルメ","N","34.096527","135.115463"
"307","美よし荘旅館","Miyoshiso Ryokan","有田郡湯浅町別所166-1","166-1 Bessho, Yuasacho, Arida-gun","有田・湯浅・日高エリア","宿泊","N","34.029942","135.182388"
"308","民宿　波満の家","Hamanoie guesthouse","日高郡日高町方杭41","41 Katakui, Hidakacho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","N","33.939091","135.087326"
"309","ロッジ・クール","Lodge Kool Inn","日高郡日高川町高津尾908","908 Takatsuo, Hidakagawacho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","L","33.964417","135.288818"
"310","丸仁商店","Maruni Shoten store","御坊市湯川町小松原410-1","410-1 Komatsubara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","ショッピング,その他","L","33.907513","135.157913"
"311","イタリア料理ＢＡＭＢＵ（バンブー）","Italian Cuisine Bambu","御坊市湯川町 財部664-8","664-8 Takara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","グルメ","L","33.898533","135.153198"
"312","民宿　はまよし","Hamayoshi guesthouse","日高郡日高町志賀3960-1","3960-1 Shiga, Hidakacho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","L","33.924335","135.110855"
"313","ビジネスホテル　紀の国","Business Hotel Kinokuni","御坊市湯川町小松原463-1","463-1 Komatsubara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","宿泊","L","33.90564","135.155975"
"314","民宿　シーサイド産湯","Seaside Ubuyu guesthouse","日高郡日高町産湯122","122 Ubuyu, Hidakacho, Hidaka-gun","有田・湯浅・日高エリア","宿泊,グルメ","N","33.912647","135.084717"
"315","白崎シーサイドハイツ白崎荘","Shirasaki Seaside Heights Shirasaki Manor","日高郡由良町大引948-5","948-5 Obiki, Yuracho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","N","33.968487","135.087265"
"316","喫茶みはる","Kissa Miharu Cafe","日高郡美浜町大字田井566-1","566-1 Tai, Mihamacho, Hidaka-gun","有田・湯浅・日高エリア","グルメ","L","33.887928","135.151215"
"317","観光農園ひだか","Tourist Farm Hidaka","御坊市名田町上野1336-2","1336-2 Ueno, Nadacho, Gobo-shi","有田・湯浅・日高エリア","グルメ,観光スポット,その他","N","33.831547","135.181458"
"318","野天風呂宝の湯","Notenburo Spa Takaranoyu","御坊市湯川町財部1118-1","1118-1 Takara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","グルメ,その他","N","33.90078","135.163452"
"319","民宿　リッチ","Minshuku Rich","日高郡みなべ町植田942-1","942-1 Haneta, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","L","33.771832","135.321808"
"320","朝日楼","Asahiro, seafood restaurant","日高郡みなべ町梅香丘1589-2","1589-2 Umegaoka, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","L","33.771832","135.321808"
"321","錦花堂","Kinkado Japanese confectionery store","日高郡由良町里1356","1356 Sato, Yuracho, Hidaka-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N","33.960075","135.118607"
"322","伊藤化粧品店","Ito Cosmetics store","日高郡みなべ町北道221","221 Kitado, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","ショッピング","N","33.769127","135.320679"
"323","紀州鉄道　紀伊御坊駅","Kishu Railway Kiigobo Station","御坊市薗275","275 Sono, Gobo-shi","有田・湯浅・日高エリア","公共交通","N","33.893944","135.154099"
"324","往生寺","Oujyouji temple","御坊市湯川町財部412","412 Takara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","観光スポット,その他","N","33.900505","135.151474"
"325","カフェドマンマ","Cafe De Mamma Restaurant","日高郡みなべ町埴田1590-40","1229 Oshine, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","グルメ","N","33.757042","135.325348"
"326","岩本食品","Iwamoto Shokuhin Plum Store","日高郡みなべ町晩稲1187","1187 Oshine, Minabecho, Hodaka-gun","有田・湯浅・日高エリア","ショッピング","N","33.786678","135.337112"
"327","お宿　喜作","Kisaku Japanese Inn","日高郡日高川町平川894-1","894-1 Hyugawa, Hidakagawacho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","L","33.937645","135.236298"
"328","わかば薬局","Wakaba Pharmacy","御坊市湯川町財部722-5","722-5 Takara, Yukawacho, Gobou-shi","有田・湯浅・日高エリア","その他","N","33.896774","135.153336"
"329","日高町旅館民宿組合","Tourist Information Center for Japanese inns and Guesthouses in Hidakacho ","日高郡日高町高家639-4","639-4 Taie, Hidakacho, Hidaka-gun","有田・湯浅・日高エリア","その他","N","33.927994","135.137878"
"330","まちなか総合案内所　しらすな","Shirasuna tourist information center","西牟婁郡白浜町1384-57","1384-57 Shirahamacho, Nishimuro-gun","白浜・串本エリア","観光スポット,その他","L","33.669189","135.402939"
"331","タイム","Time computer service","西牟婁郡白浜町844","844 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","L","33.669189","135.402939"
"332","サウンドスペース　フリッパー","Sound Space Flipper Karaoke house","西牟婁郡白浜町2315-3","2315-3 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","L","33.669189","135.402939"
"333","ページボーイ美容室","Beauty Salon Page Boy","西牟婁郡白浜町693","693 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","L","33.669189","135.402939"
"334","霧の郷　たかはら","Kirinosato Takahara Inn","田辺市中辺路町高原826","826 Takahara, Nakahechicho, Tanabe-shi","熊野エリア","宿泊,グルメ,その他","L","33.786282","135.532532"
"335","やまと","Yamato café and shop","西牟婁郡白浜町1356-2","1356-2 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ,ショッピング","L","33.669189","135.402939"
"336","とらや","Toraya Stationery Shop","西牟婁郡白浜町868-43","868-43 Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","L","33.669189","135.402939"
"337","魚政商店","Uomasa kamaboko shop","西牟婁郡白浜町1353-1","1353-1 Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","L","33.669189","135.402939"
"338","民宿アイス","Aisu guesthouse and restaurant","西牟婁郡白浜町896","896 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊,グルメ","L","33.669189","135.402939"
"339","民宿　森のお宿","Mori-No-Oyado guesthouse","西牟婁郡白浜町大880-2","880-2 O, Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.646751","135.507812"
"340","ビジネスホテル田辺サンシャイン","Business Hotel Tanabe Sunshine ","田辺市稲成町231-6","231-6 Inaricho, Tanabe-shi","熊野エリア","宿泊","N","33.739334","135.374405"
"341","農家民泊もんぺとくわ","Monpe-To-Kuwa guesthouse","田辺市龍神村西261","261 Ryujinmuranishi, Tanabe-shi","熊野エリア","宿泊,グルメ","N","33.893108","135.488632"
"342","素泊り専科プチ白浜","Petit Shirahama guest house","西牟婁郡白浜町1335-60","1335-60 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.669189","135.402939"
"343","正木自転車","Masaki Bicycle Shop","西牟婁郡白浜町1062-14","1062-14 Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","L","33.669189","135.402939"
"344","畠山電気商会","Hatakeyama Denki Shokai Electric shpo","西牟婁郡白浜町1162-56","1162-56 Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","L","33.669189","135.402939"
"345","龍神温泉上御殿","Ryujin Onsen Kamigoten hotel","田辺市龍神村龍神42","42 Ryujin, Ryujinmura, Tanabe-shi","熊野エリア","宿泊","L","33.962479","135.561264"
"346","坂井屋","Sakaiya Hotel","田辺市龍神村龍神56","56 Ryujin, Ryujinmura, Tanabe-shi","熊野エリア","宿泊","L","33.962479","135.561264"
"347","若山屋商店","Wakayamaya store","田辺市龍神村龍神44","44 Ryujinmuraryujin, Tanabe-shi","熊野エリア","グルメ,ショッピング","L","33.962479","135.561264"
"348","有軒屋","Arinokiya Inn","田辺市龍神村龍神39","39 Ryujinmuraryujin, Tanabe-shi","熊野エリア","宿泊","L","33.962479","135.561264"
"349","国民宿舎ホテルシラハマ","Hotel Shirahama","西牟婁郡白浜町813","813 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.669189","135.402939"
"350","プラスワン","Plus One Guest House","西牟婁郡白浜町2927-1813","2927-1813 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.669189","135.402939"
"351","福重","Fukuju Restaurant","西牟婁郡白浜町890-105","890-105 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","L","33.669189","135.402939"
"352","ホテル花飾璃","Hotel Hanakazari","西牟婁郡白浜町1243","1243 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.669189","135.402939"
"353","谷地商店","Taniji Shoten store (milk delivery, etc)","西牟婁郡白浜町1111-41","1111-41 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","L","33.669189","135.402939"
"354","白浜ガス","Shirahama Gas store","西牟婁郡白浜町1130-36","1130-36 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","L","33.669189","135.402939"
"355","岸商店","Gyoumu-super supermarket","西牟婁郡白浜町1111-21","1111-21 Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","L","33.669189","135.402939"
"356","小さな宿　白南風","Shirahae guesthouse","西牟婁郡白浜町2022","2022 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.669189","135.402939"
"357","岸酒店","Kishi Liquor Store","すさみ町周参見2094-6","2094-6 Susami, Susamicho","白浜・串本エリア","ショッピング","L","33.54924","135.493713"
"358","白浜シャンピア","Shirahama Shampia resort condominium","西牟婁郡白浜町3216-14","3216-14 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.669189","135.402939"
"359","田辺駅前広場","Tanabe Train Station Square","田辺市湊963","963 Minato, Tanabe-shi","熊野エリア","ショッピング,公共交通,観光スポット,その他","N","33.733002","135.38472"
"360","マリンクラブスサミ","Marine Club Susami fishing service","西牟婁郡すさみ町周参見3363-3","3363-3 Susami, Susamicho, Nishimuro-gun","白浜・串本エリア","観光スポット,その他","L","33.554932","135.503235"
"361","杜の郷みるりいな","Morinosato Miruriina Cafe and Restaurant","田辺市本宮町大津荷5-3","5-3 Honguchootsuga, Tanabe-shi","熊野エリア","グルメ","L","33.823109","135.807266"
"362","ロイヤルリゾート白浜","Royal Resort Shirahama Apartment House","西牟婁郡白浜町3219-6","3219-6 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.669189","135.402939"
"363","福すし","Fuku Sushi Restaurant","西牟婁郡上富田町朝来932","932 Asso, Kamitondacho, Nishimuro-gun","白浜・串本エリア","グルメ","L","33.694542","135.423706"
"364","エビとカニの水族館","Susami Crustacean Aquarium","西牟婁郡すさみ町江住808-1","808-1 Esumi, Susamicho, Nishimuro-gun","白浜・串本エリア","観光スポット,その他","N","33.515518","135.601379"
"365","バニラカフェ","Vanilla Cafe ","田辺市南新町201","201 Minamishinmachi, Tanaba-shi","熊野エリア","グルメ","N","33.732597","135.3806"
"366","よし平　総本店","Yoshihei main restaurant","田辺市神島台1-19","1-19 Kashimadai, Tanabe-shi","熊野エリア","グルメ","N","33.708248","135.401337"
"367","紀州うまいもん家傳八","Kishu Umaimon-Ya Denpachi restaurant","田辺市新庄町451-3","451-3 Shinjocho, Tanabe-shi","熊野エリア","グルメ","N","33.720535","135.401398"
"368","ホテル南海楼","Hotel Nankairo","田辺市湊996","996 Minato, Tanabe-shi","熊野エリア","宿泊","L","33.731613","135.383606"
"369","道の駅すさみ","Susami Michinoeki Road Station","西牟婁郡すさみ町江住808番地-1","808-1 Esumi, Susamicho, Nishimuro-gun","白浜・串本エリア","グルメ,ショッピング,観光スポット,その他","N","33.515518","135.601379"
"370","メガネのエノモト時計店","Meganeno Enomoto Eye Glasses and Watches Shop","田辺市湊1032","1032 Minato, Tanabe-shi","熊野エリア","ショッピング","N","33.731613","135.383606"
"371","民宿　五幸","Guesthouse Gokou","西牟婁郡白浜町御幸通3340-19","3340-19 Miyukidori, Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N","33.669189","135.402939"
"372","丸井旅館","Marui Ryokan, Inn","田辺市龍神村西9-2","9-2 Ryujinmuranishi, Tanabe-shi","熊野エリア","宿泊","N","33.893108","135.488632"
