"店舗名","店舗名（英語）","住所","住所（英語）","検索条件エリア","カテゴリ（まとめ）","SSID種類"
"御菓子司さゞ波横休憩所","Rest Area next to Sazanami Confectionery Store","伊都郡高野町大字高野山797","797 Koyasan, Koyacho, Ito-gun","高野山エリア","ショッピング,その他","N"
"かつらぎ西パーキングエリア","Antenna Shop on the Down Line at Katsuragi Nishi Parking Area","伊都郡かつらぎ町笠田東1270-22","1270-22 Kasedahigashi, Katsuragicho, Ito-gun","高野山エリア","グルメ,ショッピング,観光スポット,その他","L"
"ＴＥＲＡＫＯ－ＹＡ","Tourist Information Center TERAKO-YA","伊都郡高野町高野山445","445 Koyasan, Koyacho, Ito-gun","高野山エリア","その他","L"
"ウエストコースト","Restaurant West Coast","伊都郡かつらぎ町大字笠田東108-1","108-1 Kasedahigashi, Katsuragicho, Ito-gun","高野山エリア","グルメ","L"
"わらべ","Warabe, seafood restaurant","和歌山県橋本市小原田74-9ﾊｲﾂ小原田1階","Heights Oharata Bldg. 1F, 74-9 Oharata, Hashimoto-shi","高野山エリア","グルメ","L"
"子安地蔵寺","Koyasujizo-ji Temple","橋本市菖蒲谷94","94 Syobutani, Hashimoto-shi","高野山エリア","観光スポット,その他","N"
"真明寺","Shinmyo-ji Temple","伊都郡かつらぎ町佐野318","318 Saya, Katsuragicho, Ito-gun","高野山エリア","観光スポット,その他","L"
"増福院","Temple Lodging Zofuku-in","伊都郡高野町高野山346","346 Koyasan, Koyacho, Ito-gun","高野山エリア","宿泊,グルメ","L"
"西禅院","Temple Lodging Saizen-in","伊都郡高野町高野山154","154 Koyasan, Koyacho, Ito-gun","高野山エリア","宿泊,グルメ","L"
"カメイプラザ","Kamei Plaza Gift Shop","橋本市市脇4丁目1-20","4-1-20 Ichiwaki, Hashimoto-shi","高野山エリア","ショッピング","L"
"亀井商店卸配送センター","Kamei Shoten Wholesale Delivery Center","橋本市市脇4丁目1-4","4-1-4 Ichiwaki, Hashimoto-shi","高野山エリア","ショッピング,その他","L"
"コスメティックかめい","Cosmetic shop Kamei","橋本市橋本2丁目2-14","2-2-14 Hashimoto, Hashimoto-shi","高野山エリア","ショッピング","N"
"木間暮","Kimagure Cafe and Restaurant","橋本市西畑489-1","489-1 Nishibata, Hashimoto-shi","高野山エリア","グルメ","N"
"南海りんかんバス　高野山営業所","Nankai Rinkan Bus, Koyasan Business Office","伊都郡高野町高野山国有林第8林班105-1","105-1 8th Group of National Forest, Koyasan, Koyacho, Ito-gun","高野山エリア","公共交通","N"
"大円院","Daien-in Temple","伊都郡高野町高野山594","594 Koyasan, Koyacho, Ito-gun","高野山エリア","宿泊,グルメ","N"
"二軒目飯店","Chinese Restaurant Nikenme Hanten","伊都郡かつらぎ町佐野890","890 Saya, Katsuragicho, Ito-gun","高野山エリア","グルメ","N"
"初櫻酒造","Hatsuzakura Shuzo Sake Factory","和歌山県伊都郡かつらぎ町中飯降85","85 Nakaiburi, Katsuragicho, Ito-gun","高野山エリア","ショッピング,その他","N"
"大明王院","Daimyoo-in Temple","伊都郡高野町大字高野山482","482 Koyasan, Koyacho, Ito-gun","高野山エリア","宿泊,グルメ","N"
"一喜食堂","Ikki Dining","有田郡湯浅町吉川64-3","64-3 Yoshikawa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","グルメ","L"
"すはらシーサイドハウス","Suhara Seaside House Boat Rental","有田郡湯浅町栖原966-1","966-1 Suhara, Yuasacho, Arida-gun","有田・湯浅・日高エリア","観光スポット,その他","L"
"貴望","Kibo Guest House","有田郡湯浅町大字田57-9","57-9 Yuasacho, Arida-gun","有田・湯浅・日高エリア","宿泊","N"
"紀州路ありだ","Kishuji Arida General Store","有田郡有田川町熊井674-3","674-3 Kumai, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N"
"焼肉　森谷","Yakiniku Restaurant Moritani","有田郡有田川町庄322-1","322-1 Sho, Aridagawacho, Aridaga-gun","有田・湯浅・日高エリア","グルメ","L"
"あさぎり","Lodging and Experience Facility Asagiri","有田郡有田川町大字清水1225-1","1225-1 Shimizu, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","宿泊,グルメ,その他","N"
"麺処むらなか","Mendokoro Muranaka noodle restaurant","有田郡広川町大字唐尾213‐5","213-5 Ooazakaro, Hirogawacho, Arida-gun","有田・湯浅・日高エリア","グルメ","N"
"角長","Kadocho soy sauce shop","有田郡湯浅町湯浅7","7 Yuasa, Yuasacho, Aida-gun","有田・湯浅・日高エリア","ショッピング,観光スポット,その他","N"
"カフェアンドレストバグダッド","Cafe and Rest Bagdad","有田郡有田川町大字修理川417","417 Surigawa, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","グルメ","N"
"北町茶屋いっぷく","Kitamachichaya Ippuku restaurant","有田郡湯浅町湯浅23","23 Yuasacho, Arida-gun","有田・湯浅・日高エリア","グルメ","L"
"国民宿舎　くろ潮","Kuroshio Hotel","有田市宮崎町1562-2","1562-2 Miyazakicho, Arida-shi","有田・湯浅・日高エリア","宿泊","L"
"レスト喫茶　ドンキー","Coffee Restaurant Donkey","有田郡湯浅町湯浅1045-1","1045-1 Yuasa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","グルメ","L"
"マルキ食堂","Maruki Shokudo restaurant","有田市箕島897-1","897-1 Minoshima, Arida-shi","有田・湯浅・日高エリア","グルメ","L"
"喜多亭","Kitatei, French restaurant","有田市初島町里1933-8","1933-8 Sato, Hatsushimacho, Arida-shi","有田・湯浅・日高エリア","グルメ","N"
"美よし荘旅館","Miyoshiso Ryokan","有田郡湯浅町別所166-1","166-1 Bessho, Yuasacho, Arida-gun","有田・湯浅・日高エリア","宿泊","N"
"民宿　波満の家","Hamanoie guesthouse","日高郡日高町方杭41","41 Katakui, Hidakacho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","N"
"ロッジ・クール","Lodge Kool Inn","日高郡日高川町高津尾908","908 Takatsuo, Hidakagawacho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","L"
"丸仁商店","Maruni Shoten store","御坊市湯川町小松原410-1","410-1 Komatsubara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","ショッピング,その他","L"
"イタリア料理ＢＡＭＢＵ（バンブー）","Italian Cuisine Bambu","御坊市湯川町 財部664-8","664-8 Takara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","グルメ","L"
"民宿　はまよし","Hamayoshi guesthouse","日高郡日高町志賀3960-1","3960-1 Shiga, Hidakacho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","L"
"ビジネスホテル　紀の国","Business Hotel Kinokuni","御坊市湯川町小松原463-1","463-1 Komatsubara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","宿泊","L"
"民宿　シーサイド産湯","Seaside Ubuyu guesthouse","日高郡日高町産湯122","122 Ubuyu, Hidakacho, Hidaka-gun","有田・湯浅・日高エリア","宿泊,グルメ","N"
"白崎シーサイドハイツ白崎荘","Shirasaki Seaside Heights Shirasaki Manor","日高郡由良町大引948-5","948-5 Obiki, Yuracho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","N"
"喫茶みはる","Kissa Miharu Cafe","日高郡美浜町大字田井566-1","566-1 Tai, Mihamacho, Hidaka-gun","有田・湯浅・日高エリア","グルメ","L"
"観光農園ひだか","Tourist Farm Hidaka","御坊市名田町上野1336-2","1336-2 Ueno, Nadacho, Gobo-shi","有田・湯浅・日高エリア","グルメ,観光スポット,その他","N"
"野天風呂宝の湯","Notenburo Spa Takaranoyu","御坊市湯川町財部1118-1","1118-1 Takara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","グルメ,その他","N"
"民宿　リッチ","Minshuku Rich","日高郡みなべ町植田942-1","942-1 Haneta, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","L"
"朝日楼","Asahiro, seafood restaurant","日高郡みなべ町梅香丘1589-2","1589-2 Umegaoka, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","L"
"錦花堂","Kinkado Japanese confectionery store","日高郡由良町里1356","1356 Sato, Yuracho, Hidaka-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N"
"伊藤化粧品店","Ito Cosmetics store","日高郡みなべ町北道221","221 Kitado, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","ショッピング","N"
"紀州鉄道　紀伊御坊駅","Kishu Railway Kiigobo Station","御坊市薗275","275 Sono, Gobo-shi","有田・湯浅・日高エリア","公共交通","N"
"往生寺","Oujyouji temple","御坊市湯川町財部412","412 Takara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","観光スポット,その他","N"
"カフェドマンマ","Cafe De Mamma Restaurant","日高郡みなべ町埴田1590-40","1229 Oshine, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","グルメ","N"
"岩本食品","Iwamoto Shokuhin Plum Store","日高郡みなべ町晩稲1187","1187 Oshine, Minabecho, Hodaka-gun","有田・湯浅・日高エリア","ショッピング","N"
"お宿　喜作","Kisaku Japanese Inn","日高郡日高川町平川894-1","894-1 Hyugawa, Hidakagawacho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","L"
"わかば薬局","Wakaba Pharmacy","御坊市湯川町財部722-5","722-5 Takara, Yukawacho, Gobou-shi","有田・湯浅・日高エリア","その他","N"
"日高町旅館民宿組合","Tourist Information Center for Japanese inns and Guesthouses in Hidakacho ","日高郡日高町高家639-4","639-4 Taie, Hidakacho, Hidaka-gun","有田・湯浅・日高エリア","その他","N"
"まちなか総合案内所　しらすな","Shirasuna tourist information center","西牟婁郡白浜町1384-57","1384-57 Shirahamacho, Nishimuro-gun","白浜・串本エリア","観光スポット,その他","L"
"タイム","Time computer service","西牟婁郡白浜町844","844 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","L"
"サウンドスペース　フリッパー","Sound Space Flipper Karaoke house","西牟婁郡白浜町2315-3","2315-3 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","L"
"ページボーイ美容室","Beauty Salon Page Boy","西牟婁郡白浜町693","693 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","L"
"霧の郷　たかはら","Kirinosato Takahara Inn","田辺市中辺路町高原826","826 Takahara, Nakahechicho, Tanabe-shi","熊野エリア","宿泊,グルメ,その他","L"
"やまと","Yamato cafe and shop","西牟婁郡白浜町1356-2","1356-2 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ,ショッピング","L"
"とらや","Toraya Stationery Shop","西牟婁郡白浜町868-43","868-43 Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","L"
"魚政商店","Uomasa kamaboko shop","西牟婁郡白浜町1353-1","1353-1 Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","L"
"民宿アイス","Aisu guesthouse and restaurant","西牟婁郡白浜町896","896 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊,グルメ","L"
"民宿　森のお宿","Mori-No-Oyado guesthouse","西牟婁郡白浜町大880-2","880-2 O, Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"ビジネスホテル田辺サンシャイン","Business Hotel Tanabe Sunshine ","田辺市稲成町231-6","231-6 Inaricho, Tanabe-shi","熊野エリア","宿泊","N"
"農家民泊もんぺとくわ","Monpe-To-Kuwa guesthouse","田辺市龍神村西261","261 Ryujinmuranishi, Tanabe-shi","熊野エリア","宿泊,グルメ","N"
"素泊り専科プチ白浜","Petit Shirahama guest house","西牟婁郡白浜町1335-60","1335-60 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"正木自転車","Masaki Bicycle Shop","西牟婁郡白浜町1062-14","1062-14 Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","L"
"畠山電気商会","Hatakeyama Denki Shokai Electric shpo","西牟婁郡白浜町1162-56","1162-56 Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","L"
"龍神温泉上御殿","Ryujin Onsen Kamigoten hotel","田辺市龍神村龍神42","42 Ryujin, Ryujinmura, Tanabe-shi","熊野エリア","宿泊","L"
"坂井屋","Sakaiya Hotel","田辺市龍神村龍神56","56 Ryujin, Ryujinmura, Tanabe-shi","熊野エリア","宿泊","L"
"若山屋商店","Wakayamaya store","田辺市龍神村龍神44","44 Ryujinmuraryujin, Tanabe-shi","熊野エリア","グルメ,ショッピング","L"
"有軒屋","Arinokiya Inn","田辺市龍神村龍神39","39 Ryujinmuraryujin, Tanabe-shi","熊野エリア","宿泊","L"
"国民宿舎ホテルシラハマ","Hotel Shirahama","西牟婁郡白浜町813","813 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"プラスワン","Plus One Guest House","西牟婁郡白浜町2927-1813","2927-1813 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"福重","Fukuju Restaurant","西牟婁郡白浜町890-105","890-105 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","L"
"ホテル花飾璃","Hotel Hanakazari","西牟婁郡白浜町1243","1243 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"谷地商店","Taniji Shoten store (milk delivery, etc)","西牟婁郡白浜町1111-41","1111-41 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","L"
"白浜ガス","Shirahama Gas store","西牟婁郡白浜町1130-36","1130-36 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","L"
"岸商店","Gyoumu-super supermarket","西牟婁郡白浜町1111-21","1111-21 Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","L"
"小さな宿　白南風","Shirahae guesthouse","西牟婁郡白浜町2022","2022 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"岸酒店","Kishi Liquor Store","すさみ町周参見2094-6","2094-6 Susami, Susamicho","白浜・串本エリア","ショッピング","L"
"白浜シャンピア","Shirahama Shampia resort condominium","西牟婁郡白浜町3216-14","3216-14 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"田辺駅前広場","Tanabe Train Station Square","田辺市湊963","963 Minato, Tanabe-shi","熊野エリア","ショッピング,公共交通,観光スポット,その他","N"
"マリンクラブスサミ","Marine Club Susami fishing service","西牟婁郡すさみ町周参見3363-3","3363-3 Susami, Susamicho, Nishimuro-gun","白浜・串本エリア","観光スポット,その他","L"
"杜の郷みるりいな","Morinosato Miruriina Cafe and Restaurant","田辺市本宮町大津荷5-3","5-3 Honguchootsuga, Tanabe-shi","熊野エリア","グルメ","L"
"ロイヤルリゾート白浜","Royal Resort Shirahama Apartment House","西牟婁郡白浜町3219-6","3219-6 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"福すし","Fuku Sushi Restaurant","西牟婁郡上富田町朝来932","932 Asso, Kamitondacho, Nishimuro-gun","白浜・串本エリア","グルメ","L"
"エビとカニの水族館","Susami Crustacean Aquarium","西牟婁郡すさみ町江住808-1","808-1 Esumi, Susamicho, Nishimuro-gun","白浜・串本エリア","観光スポット,その他","N"
"バニラカフェ","Vanilla Cafe ","田辺市南新町201","201 Minamishinmachi, Tanaba-shi","熊野エリア","グルメ","N"
"よし平　総本店","Yoshihei main restaurant","田辺市神島台1-19","1-19 Kashimadai, Tanabe-shi","熊野エリア","グルメ","N"
"紀州うまいもん家傳八","Kishu Umaimon-Ya Denpachi restaurant","田辺市新庄町451-3","451-3 Shinjocho, Tanabe-shi","熊野エリア","グルメ","N"
"ホテル南海楼","Hotel Nankairo","田辺市湊996","996 Minato, Tanabe-shi","熊野エリア","宿泊","L"
"道の駅すさみ","Susami Michinoeki Road Station","西牟婁郡すさみ町江住808番地-1","808-1 Esumi, Susamicho, Nishimuro-gun","白浜・串本エリア","グルメ,ショッピング,観光スポット,その他","N"
"メガネのエノモト時計店","Meganeno Enomoto Eye Glasses and Watches Shop","田辺市湊1032","1032 Minato, Tanabe-shi","熊野エリア","ショッピング","N"
"民宿　五幸","Guesthouse Gokou","西牟婁郡白浜町御幸通3340-19","3340-19 Miyukidori, Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N"
"丸井旅館","Marui Ryokan, Inn","田辺市龍神村西9-2","9-2 Ryujinmuranishi, Tanabe-shi","熊野エリア","宿泊","N"
"くまの薬局","Kumano Pharmacy","田辺市本宮町本宮256-1","256-1 Hongucho Hongu, Tanabe-shi","熊野エリア","ショッピング","N"
"本宮石油","Hongu Sekiyu Gas station","田辺市本宮町本宮1575-1","1575-1 Hongucho Hongu, Tanabe-shi","熊野エリア","その他","L"
"ウッドストック","WOOD STOCK Italian Restaurant","田辺市中屋敷町7-1","7-1 Nakayashikimachi, Tanabe-shi","熊野エリア","グルメ","N"
"民宿天空のさと山","Guesthouse Tenku no Satoyama","田辺市中辺路町高原916-1","916-1 Takahara, Nakahechicho, Tanabe-shi","熊野エリア","宿泊","L"
"喫茶　きっちん","Kitchen restaurant and cafe","田辺市本宮町本宮247-3","Hongu 247-3 Hongucho, Tanabe-shi","熊野エリア","グルメ","N"
"プレジデント椿","President Tsubaki resort condominium","西牟婁郡白浜町椿1055-9","1055-9 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N"
"リバージュ・スパひきがわ","Rivage Spa Hikigawa Onsen","西牟婁郡白浜町日置1013-25","1013-25 Hioki, Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N"
"秋津野ガルテン","Restaurant Akizuno Garten","田辺市上秋津4558-8","4558-8 Kamiakizu, Tanabe-shi","熊野エリア","宿泊,グルメ,ショッピング,観光スポット,その他","N"
"美人亭","Bijintei Japanese-Style Bar","田辺市龍神村龍神96-3","96-3 Ryujin, Ryujin-mura, Tanabe-shi","熊野エリア","宿泊","L"
"南方熊楠記念館","Minakata Kumagusu Museum","西牟婁郡白浜町3601-1","3601-1 Shirahamacho, Nishimuro-gun","白浜・串本エリア","観光スポット","N"
"民宿　ゆの里","Minshuku Yunosato ","田辺市 本宮町 下湯川287","287 Shimoyukawa, Hongucho, Tanabe-shi","熊野エリア","宿泊","L"
"ワインディングロード","Variety Store Winding Road","田辺市末広町17-21","17-21 Suehirocho, Tanabe-shi","熊野エリア","宿泊","N"
"熊野ガラス工房","KUMANO Glass Workshop","田辺市本宮町本宮294","294 Tanabe-shi","熊野エリア","グルメ,ショッピング,その他","N"
"ビデオボックスREMOVA田辺店","Video Box Remova DVD rental shop, tanabe ","田辺市本町63","63 Honmachi, Tanabe-shi","熊野エリア","ショッピング","L"
"ＧＡＭＥ　ＢＯＸ　ワンパク　田辺店","Game Box Wanpaku Tanabe Shop","田辺市本町63-3","63-3 Honmachi, Tanabe-shi","熊野エリア","ショッピング","L"
"ＧＡＭＥ　ＢＯＸ　ワンパク　新庄店","Game Box Wanpaku Shinjo Shop","田辺市新庄町1977-4","1977-4 Shinjocho, Tanabe-shi","熊野エリア","ショッピング","L"
"正寿院","Shoujuin temple","田辺市上芳養993-2","993-2 Kamihaya, Tanabe-shi","熊野エリア","観光スポット,その他","N"
"民宿若竹","Wakatake guesthouse and Japanese-style bar","和歌山県西牟婁郡白浜町椿1062-8","1062-8 Tsubaki, Shirahamacho, Nishimuro-gun, Wakayama","白浜・串本エリア","宿泊,グルメ","L"
"箸折茶屋","Restaurant Hashiorichaya","田辺市中辺路町近露907-2","907-2 Chikatsuyu, Nakahechicho, Tanabe-shi","熊野エリア","グルメ","N"
"旬菜台所とも","Seasonal Vegetable Kitchen Tomo Restaurant","西牟婁郡白浜町1384-53","1384-53 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","N"
"お好み焼きおがわ","Ogawa okonomiyaki restaurant","西牟婁郡白浜町3309-27","3309-27 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","L"
"お食事しもじ　本店","Restaurant Oshokuji Shimoji Head Restaurant","田辺市本宮町請川330-1","330-1 Ukegawa, Hongucho, Tanabe-shi","熊野エリア","グルメ","N"
"お食事しもじ　本宮店","Restaurant Oshokuji Shimoji Hongu","田辺市本宮町本宮285","285 Hongu, Hongucho, Tanabe-shi","熊野エリア","グルメ","N"
"Ｙショップ　シモジ","Y Shop Shimoji Convenience Store","田辺市本宮町請川329-3","329-3 Ukegawa, Hongucho, Tanabe-shi","熊野エリア","ショッピング","N"
"紀伊田辺シティプラザホテル","Kii Tanabe City Plaza Hotel","田辺市東山1-5-32","1-5-32 Higashiyama, Tanabe-shi","熊野エリア","宿泊","L"
"亀屋旅館","Kameya Ryokan","田辺市本宮町川湯1434","1434 Kawayu, Hongucho, Tanabe-shi","熊野エリア","宿泊","N"
"海のお宿","Umi no Oyado, hotel","西牟婁郡すさみ町江住906-18","906-18 Esumi, Susamicho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"ホテル　ベルヴェデーレ","Hotel Bellevedere","西牟婁郡すさみ町周参見4857-3","4857-3 Susami, Susamicho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"民宿　前田屋","Minshuku Maedaya","西牟婁郡白浜町久木869-33","869-33 Hisagi, Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"田辺市旅館業組合","Tanabe-shi accomodation information office","田辺市湊727‐2 田辺市観光ｾﾝﾀｰ2階","Tanabe City Tourist Center 2F, 727-2 Minato, Tanabe-shi","熊野エリア","公共交通,観光スポット,その他","L"
"村田写真館","Murata Photo Shop","田辺市今福町91","91 Imafukumachi, Tanabe-shi","熊野エリア","ショッピング","N"
"よしのや旅館","Yoshinoya Inn","田辺市本宮町湯峯359","359 Honguchoyunomine, Tanabe-shi","熊野エリア","宿泊","N"
"海鮮料理　甚力","Jin Rikky Seafood Restaurant","西牟婁郡白浜町3079","3079 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","L"
"ホテル　ルアンドン白浜","Hotel Luan Don Shirahama","西牟婁郡白浜町3354-9","3354-9 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"観音寺","Kannonji temple","西牟婁郡上富田町1977","1977  Kamitondacho, Nishimuro-gun","白浜・串本エリア","観光スポット,その他","L"
"とれとれ市場 南紀白浜","Tore Tore Ichiba Seafood Market","西牟婁郡白浜町堅田2521","2521 Katata, Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ,ショッピング,観光スポット,その他","N"
"白浜温泉紀州路","Shirahama Onsen Kishuji Accommodation","西牟婁郡白浜町3018-2","3018-2 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"まるまさラーメン","Marumasa Ramen Restaurant","西牟婁郡白浜町890-37","890-37 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","N"
"闘鶏神社","Toukei-jinja Shrine","田辺市東陽1-1","1-1 Touyou, Tanabe-shi","熊野エリア","観光スポット,その他","N"
"川湯みどりや","Kawayu Midoriya Ryokan","田辺市本宮町川湯13","13 Hongucho Kawayu, Tanabe-shi","熊野エリア","宿泊","L"
"川湯まつや","Kawayu Matsuya Inn","田辺市本宮町川湯29","13 Kawayu Hongucho, Tanabe-shi","熊野エリア","宿泊","N"
"民宿浜ぼう","Hamabou Minshuku","西牟婁郡白浜町49-1","49-1 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"居酒屋　卯八","Japanese-style Bar Uhachi","西牟婁郡白浜町2927-105","2927-105 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","N"
"ホテルサンリゾート白浜","Hotel Sunresort Shirahama","西牟婁郡白浜町堅田2500-185","2500-185 Katata, Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"二宮","Ninomiya Japanese-style confection store","田辺市下屋敷町27","27 Shimoyashikimachi, Tanabe-shi","熊野エリア","グルメ,ショッピング","N"
"熊野本宮大社","Kumano Hongu Taisha Grand Shrine","田辺市本宮町本宮1110","1110 Honguchohongu, Tanabe-shi","熊野エリア","観光スポット,その他","N"
"瑞鳳殿","Zuihoden","田辺市本宮町本宮195-3","195-3 Honguchohongu, Tanabe-shi","熊野エリア","グルメ,ショッピング,観光スポット,その他","N"
"湯の峯荘","Yunominesou Inn","田辺市本宮町下湯川437","437 Shimoyukawa, Hongucho, Tanabe-shi","熊野エリア","宿泊","N"
"瀧よし","Minshuku Takiyoshi ","田辺市本宮町湯峯260-4","260-4 Yunomine, Hongucho, Tanabe-shi","熊野エリア","宿泊","N"
"Ｖショップ滝内店","V Shop Supermarket Takinai Store","田辺市新庄町2915-328","2915-328 Shinjocho, Tanabe-shi","熊野エリア","ショッピング","N"
"Ｖショップ桟橋店","V Shop Supermarket Sanbashi Store","西牟婁郡白浜町3744-3","3744-3 Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","N"
"ザグランリゾートエレガンテ白浜","THE GRAN RESORT Elegante Shirahama Membership Hotel","西牟婁郡白浜町1813-8","1813-8 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"ホテルグリーンヒル白浜","Hotel Green Hill Shirahama","西牟婁郡白浜町2018","2018 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L"
"玄米彩菜","Restaurant Genmaisaisai","田辺市新屋敷町6-1ﾊﾟｰｸｻｲﾄﾞﾎﾃﾙ7F","Parkside Hotel 7F, 6-1 Shinyashikimachi, Tanabe-shi","熊野エリア","グルメ","L"
"鮨康","Japanese Restaurant Sushiko","田辺市高雄1丁目1-12","1-1-12 Takao, Tanabe-shi","熊野エリア","グルメ","L"
"ハピネスちかつゆ","Happiness Chikatsuyu Rental House","田辺市近露606-2","606-2 Chikatsuyu, Tanabe-shi","熊野エリア","宿泊","L"
"南紀白浜梅樽温泉ホテルシーモア","Nanki Shirahama Umedaru Onsen HOTEL SEAMORE","西牟婁郡白浜町1821","1821 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N"
"温泉三昧の宿白浜館","Onsen Hotel Shirahamakan","西牟婁郡白浜町1379","1379 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N"
"ホテル天山閣海ゆぅ庭","Hotel Tenzankaku Kaiyutei","西牟婁郡白浜町2020","2020 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N"
"ホテル天山閣湯楽庵","Hotel Tenzankaku Yurakuan","西牟婁郡白浜町2927-553","2927-553 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N"
"民宿ｉｎｎしらはま駅の宿","Minshuku Inn Shirahama Station Accommodation","西牟婁郡白浜町堅田1479-1","1479-1 Katata, Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N"
"休憩処いっぷく","Kyukeidokoro Ippuku Dining","田辺市本宮町本宮108-1","108-1 Hongu, Hongucho, Tanabe-shi","熊野エリア","グルメ","N"
"まちなかキッチン","Machinaka Kitchen Restaurant","西牟婁郡白浜町3300-19","3300-19 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","L"
"民宿亀の井","Kamenoi Inn","東牟婁郡那智勝浦町朝日4丁目73番地","4-73 Asahi, Nachikatsuuracho, Higashimuro-gun","熊野エリア","宿泊","L"
"民宿小出","Koide Inn","東牟婁郡那智勝浦町天満867-6","867-6 Tenma, Nachikatsuuracho, Higashimuro-gun","熊野エリア","宿泊","L"
"花風月","Cafe Kafugetsu","新宮市上本町1-2-2","1-2-2 Kamihonmachi, Shingu-shi","熊野エリア","グルメ","L"
"那智山観光センター","Nachisan Tourism Center ","東牟婁郡那智勝浦町那智山442-2","442-2 Nachisan, Nachikatsuuracho, Higashimuro-gun","熊野エリア","グルメ,ショッピング,公共交通,観光スポット,その他","N"
"あづま寿司","Azuma Sushi","新宮市橋本2丁目11-33","2-11-33 Hashimoto, Shingu-shi","熊野エリア","グルメ","N"
"民宿　百福","Guesthouse Momofuku","新宮市熊野川町西224-3","224-3 Nishi, Kumanogawacho, Shingu-shi","熊野エリア","宿泊","L"
